asset_id,file,asset_name,semantic_category,subject_keywords,visual_style,best_use,caution,width_px,height_px,aspect_ratio_decimal,aspect_ratio_simple,orientation,has_alpha,transparent_pixel_ratio,ppt_crop_behavior,layout_slot_hint,native_editability,scale_caution
RYO26-059,images/image158.png,cash bundle,cash-stack,"funds, revenue, payment","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-060,images/image159.png,bright light bulb,bright-idea,"idea, solution","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-061,images/image160.png,cloud download,cloud-download,"cloud, download, data sync","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-062,images/image161.png,dollar crown,premium-money,"high value, gain, incentive","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-063,images/image162.png,office chair,office-workspace,"office, seat, workspace","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-064,images/image163.png,money bag alternate,budget-money,"funds, budget","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.251,"transparent cutout; place on native PPT background, keep whitespace/crop visible",icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-065,images/image164.png,gears,settings,"settings, automation, configuration","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-066,images/image165.png,rocket,launch,"launch, go-live, acceleration","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-067,images/image166.png,dual monitors,multi-screen,"monitoring, IT management, dual screen","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-068,images/image167.png,server rack,server,"server, system infrastructure","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-069,images/image168.png,CPU chip,cpu-chip,"compute resource, IT hardware","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-070,images/image169.png,chef hat,food-service,"food service, hospitality","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-071,images/image170.png,traffic cone,safety-roadwork,"warning, construction, temporary rule","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-072,images/image171.png,life vest,safety-protection,"safety, protection, emergency","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-073,images/image173.png,anchor,anchor-shipping,"port, shipping, fixed point","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-074,images/image174.png,factory towers,plant-factory,"manufacturing, factory, industry","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-075,images/image179.png,wrench,maintenance,"repair, maintenance, tool","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-076,images/image180.png,measuring cup,lab-measure,"experiment, measurement","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-077,images/image181.png,red liquid flask,lab-test,"chemistry, R&D, inspection","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-078,images/image184.png,spray can,spray,"cleaning, maintenance, painting","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-079,images/image185.png,bolt,parts,"parts, component, manufacturing","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-080,images/image186.png,paint bucket,paint,"construction, renovation, painting","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-081,images/image187.png,paint roller,paint-work,"renovation, construction, painting","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-082,images/image188.png,trousers,apparel,"apparel, materials, retail","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-083,images/image189.png,paint brush,creative-work,"design, creation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-084,images/image190.png,safety helmet,safety,"construction, safety, field work","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-085,images/image197.png,cardboard box,package,"packaging, shipping, inventory","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-086,images/image23.png,list menu,list-menu,"menu, list, directory","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-087,images/image24.png,speech bubble,comment,"comment, communication, feedback","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-088,images/image25.png,bar chart alternate,bar-chart,"report, analysis","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-089,images/image26.png,binder files,binder-files,"document archive, file management","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-090,images/image27.png,briefcase alternate,business-role,"business, sales","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-091,images/image28.png,calculator alternate,calculator,"calculation, cost","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-092,images/image29.png,calendar alternate,calendar,"schedule, plan","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-093,images/image30.png,safe box alternate,security-finance,"storage, safety","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-094,images/image31.png,atom alternate,science-tech,"technology, R&D","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-095,images/image32.png,clipboard alternate,checklist,"check, approval","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-096,images/image33.png,clock alternate,time,"time, progress","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-097,images/image34.png,cloud upload,cloud-upload,"cloud, upload, sync","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-098,images/image35.png,payment card alternate,payment-card,"payment, settlement","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-099,images/image36.png,coffee cup alternate,break-informal,"break, light communication","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-100,images/image37.png,diamond alternate,value-premium,"value, highlight","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-101,images/image38.png,fingerprint alternate,authentication,"authentication, login","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-102,images/image39.png,document page alternate,document,"material, document","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-103,images/image40.png,office chair alternate,office-workspace,"office, seat","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-104,images/image41.png,open folder alternate,folder,document archive,"flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-105,images/image42.png,light bulb alternate,idea,"idea, improvement","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-106,images/image43.png,fuel pump alternate,fuel,"supply, fuel","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-107,images/image44.png,gears alternate,settings,"configuration, automation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-108,images/image45.png,eyeglasses,inspection,"viewing, review, inspection","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-109,images/image46.png,laptop alternate,laptop-work,computer operation,"flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-110,images/image47.png,rising chart alternate,growth-dashboard,"growth, dashboard","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-111,images/image48.png,unlocked padlock,access-open,"open access, permission removed","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-112,images/image49.png,mail envelope alternate,email,"notification, message","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-113,images/image50.png,megaphone,announcement,"announcement, alert","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-114,images/image51.png,mouse alternate,it-operation,"click, system operation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-115,images/image52.png,envelope document alternate,mail-document,email material,"flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-116,images/image53.png,finger tap,click-action,"click, operation","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-117,images/image54.png,pencil alternate,writing-input,"edit, input","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
RYO26-118,images/image55.png,percent sign,percentage,"discount, ratio","flat colorful icon with long-shadow, rounded tile/circle","Use as small process node, legend marker, module label, feature tile, or dashboard/supporting icon.",Not official app icon unless separately verified; avoid mixing with other icon shape systems in one group.,56,56,1.000,1:1,square,yes,0.046,partial alpha; verify edge on non-white backgrounds,icon node / legend marker / small app tile,bitmap only; keep labels/callouts as PPT-native text/shapes,do not enlarge beyond about 2x source pixel size for final deck output
